Gapminder name,2008
Afghanistan,1477
Albania,0
Algeria,188
Angola,861
Argentina,12
Armenia,0
Australia,0
Austria,0
Azerbaijan,16
Bahamas,0
Bahrain,0
Bangladesh,1795
Barbados,0
Belarus,1
Belgium,1
Belize,1
Benin,149
Bhutan,8
Bolivia,88
Bosnia and Herzegovina,0
Botswana,3
Brazil,69
Brunei,0
Bulgaria,0
Burkina Faso,351
Burundi,254
Cambodia,183
Cameroon,345
Canada,0
Cape Verde,1
Central African Rep.,172
Chad,522
Chile,0
China,1028
Colombia,11
Comoros,19
"Congo, Rep.",72
Costa Rica,1
Cote d'Ivoire,516
Croatia,0
Cuba,0
Cyprus,0
Czech Rep.,0
"Korea, Dem. Rep.",128
"Congo, Dem. Rep.",4571
Denmark,1
Djibouti,14
Dominican Rep.,20
Ecuador,0
Egypt,0
El Salvador,0
Equatorial Guinea,22
Eritrea,15
Estonia,0
Ethiopia,2396
Fiji,0
Finland,0
France,2
Gabon,15
Gambia,29
Georgia,5
Germany,0
Ghana,326
Greece,0
Grenada,0
Guatemala,0
Guinea,324
Guinea-Bissau,64
Guyana,8
Haiti,91
Honduras,16
Hungary,0
Iceland,0
India,34276
Indonesia,456
Iran,118
Iraq,261
Ireland,0
Israel,0
Italy,0
Jamaica,0
Japan,1
Jordan,0
Kazakhstan,19
Kenya,869
Kuwait,1
Kyrgyzstan,11
Laos,46
Latvia,0
Lebanon,0
Lesotho,43
Liberia,141
Libya,0
Lithuania,0
Luxembourg,0
Madagascar,407
Malawi,242
Malaysia,0
Maldives,0
Mali,713
Malta,0
Mauritania,100
Mauritius,0
Mexico,52
"Micronesia, Fed. Sts.",0
Mongolia,0
Montenegro,0
Morocco,155
Mozambique,732
Myanmar,1344
Namibia,5
Nepal,344
Netherlands,0
New Zealand,0
Nicaragua,0
Niger,416
Nigeria,9190
Norway,0
Oman,0
Pakistan,7389
Panama,7
Papua New Guinea,78
Paraguay,13
Peru,0
Philippines,0
Poland,1
Portugal,0
Qatar,0
"Korea, Rep.",0
Moldova,1
Romania,5
Russia,13
Rwanda,261
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Sao Tome and Principe,3
Saudi Arabia,0
Senegal,223
Serbia,0
Sierra Leone,205
Singapore,0
Slovak Republic,0
Slovenia,0
Solomon Islands,0
Somalia,940
South Africa,106
Spain,0
Sri Lanka,0
Sudan,857
Suriname,2
Swaziland,3
Sweden,0
Switzerland,0
Syria,0
Tajikistan,55
Thailand,0
"Macedonia, FYR",0
Togo,101
Tonga,0
Trinidad and Tobago,4
Tunisia,0
Turkey,0
Turkmenistan,26
Uganda,714
Ukraine,14
United Arab Emirates,0
United Kingdom,0
Tanzania,1026
United States,1
Uruguay,0
Uzbekistan,56
Vanuatu,0
Venezuela,16
Vietnam,0
"Yemen, Rep.",420
Zambia,353
Zimbabwe,133
