"TB prevalence, all forms in HIV+ (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,0,0,1,2,3,5,10,18,31,51,75,103,129,151,170,186,200,215
American Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,297,386,496,631,792,981,"1,200","1,445","1,717","2,015","2,334","2,659","2,992","3,326","3,652","3,966","4,261","4,544"
Anguilla,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,219,262,307,350,389,423,451,471,485,493,497,498,495,490,487,480,471,462
Armenia,0,0,0,0,1,2,3,6,10,14,19,23,26,28,29,31,31,31
Australia,6,6,7,8,9,11,12,12,13,13,15,15,15,16,17,19,20,20
Austria,3,4,4,5,5,6,6,7,8,9,9,10,11,12,13,14,15,16
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,3,7,20,47,75,104,109
Bahamas,19,21,22,22,21,21,20,20,20,20,20,20,20,20,21,21,21,22
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,325,331,341,450,480,489,498
Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,1,2,4,8,17,30,49,70,93,109,114,106,99,101,103,105,105,104
Belgium,14,15,17,20,22,23,23,23,23,24,25,27,25,25,24,25,24,23
Belize,0,0,2,4,6,7,8,8,9,9,9,10,10,10,11,11,12,12
Benin,34,54,84,126,179,238,297,350,397,437,471,502,530,555,578,600,623,648
Bermuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,12,14
Bolivia,33,44,58,75,94,113,133,151,167,181,191,200,206,210,213,215,216,217
Bosnia and Herzegovina,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,475,721,"1,001","1,323","1,661","2,005","2,316","2,659","3,013","3,389","3,796","4,188","4,542","4,789","4,881","4,864","4,783","4,707"
Brazil,"5,062","5,803","6,372","6,779","7,044","7,198","7,291","7,339","7,341","7,303","7,252","7,174","7,080","6,977","6,859","6,743","6,612","6,510"
British Virgin Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,1,1,2,4,6,10,15,21,27
Burkina Faso,"1,080","1,243","1,362","1,491","1,632","1,811","2,019","2,322","2,677","3,063","3,463","3,830","4,146","4,341","4,383","4,319","4,190","4,096"
Burundi,669,"1,014","1,612","2,094","2,350","2,537","2,666","2,824","2,985","3,160","3,357","3,537","3,676","3,723","3,647","3,493","3,286","3,094"
Cambodia,"1,382","1,882","2,468","3,089","3,650","4,069","4,414","4,641","4,789","4,833","4,772","4,614","4,367","4,043","3,673","3,312","3,022","2,780"
Cameroon,452,763,"1,183","1,735","2,369","3,035","3,632","4,244","4,841","5,456","6,115","6,757","7,345","7,772","7,953","7,939","7,811","7,675"
Canada,42,42,41,39,38,36,36,36,36,35,36,36,38,39,41,43,45,47
Cape Verde,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cayman Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,332,476,633,813,"1,006","1,210","1,405","1,627","1,862","2,116","2,393","2,665","2,915","3,101","3,189","3,206","3,181","3,159"
Chad,226,331,458,620,815,"1,048","1,300","1,605","1,950","2,338","2,776","3,230","3,673","4,040","4,267","4,377","4,404","4,419"
Chile,13,18,23,29,36,43,49,53,56,58,59,58,57,56,54,52,50,48
China,555,771,"1,076","1,468","1,991","2,645","3,482","4,453","5,535","6,691","7,832","8,926","9,903","10,727","11,402","11,932","12,334","12,353"
Colombia,68,95,129,170,215,263,309,351,386,413,434,449,459,466,470,472,472,473
Comoros,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"Congo, Rep.",719,887,"1,015","1,140","1,253","1,367","1,463","1,584","1,717","1,863","2,027","2,186","2,328","2,418","2,436","2,402","2,353","2,298"
Cook Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,0,0,1,1,1,2,2,3,5,6,7,9,10,11,12,13,13,13
Croatia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,2,3,3,4,4,5,6,6,7,7,7
Cyprus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,1,1,2,2,3,3,4,4,4,4,4,3,3,3,3,3,3,2
Cote d'Ivoire,"2,444","3,495","4,611","5,856","7,134","8,456","9,660","10,996","12,365","13,774","15,238","16,550","17,604","18,139","18,005","17,419","16,559","15,712"
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,78,80,83,86,87,87
"Congo, Dem. Rep.","1,901","2,169","2,384","2,624","2,864","3,121","3,365","3,685","4,053","4,496","5,023","5,588","6,155","6,627","6,917","7,069","7,136","7,216"
Denmark,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7
Djibouti,37,61,94,141,202,274,355,439,519,592,655,709,755,796,834,871,908,947
Dominica,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,320,395,469,535,589,629,656,668,671,665,652,635,614,592,570,549,529,514
Ecuador,181,215,252,291,332,373,413,451,485,516,542,564,581,593,601,606,609,611
Egypt,27,33,40,47,55,65,74,80,89,97,107,116,123,129,135,139,144,148
El Salvador,27,39,55,75,97,121,142,160,174,183,188,191,191,190,187,184,181,179
Equatorial Guinea,17,23,31,40,51,63,75,89,104,121,139,157,173,185,191,192,189,187
Eritrea,19,32,52,81,113,141,164,181,196,211,225,241,258,278,299,321,345,369
Estonia,0,0,0,0,0,0,0,1,2,5,13,27,40,47,48,46,44,42
Ethiopia,"2,823","4,664","6,817","9,236","11,606","13,867","15,774","17,804","19,862","22,035","24,418","26,763","28,917","30,460","31,094","31,082","30,712","30,547"
Fiji,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2
Finland,0,0,0,0,0,0,0,0,1,2,3,4,3,3,3,3,3,3
France,118,137,157,173,191,204,217,227,232,231,231,231,237,235,236,239,240,242
French Polynesia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,55,72,94,123,159,186,240,289,371,425,553,625,690,711,766,863,995,"1,129"
Gambia,3,5,8,15,26,42,63,89,116,141,161,177,192,204,216,227,240,253
Georgia,0,0,0,0,0,0,0,0,0,0,3,6,9,16,24,36,50,64
Germany,68,74,81,88,91,92,94,95,95,93,86,79,73,72,69,65,61,57
Ghana,72,190,468,"1,004","1,747","2,468","3,005","3,329","3,505","3,594","3,642","3,669","3,684","3,692","3,693","3,692","3,693","3,705"
Greece,15,17,19,20,22,24,25,27,28,29,30,30,32,32,32,33,34,34
Grenada,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guam,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,14,22,36,58,89,132,183,238,289,332,364,385,398,405,408,408,409,408
Guinea,95,130,176,236,310,400,507,630,771,928,"1,102","1,290","1,489","1,697","1,914","2,137","2,372","2,600"
Guinea-Bissau,16,24,35,49,69,93,121,151,182,212,240,267,290,310,329,345,361,377
Guyana,13,22,23,36,48,64,72,70,73,71,76,86,98,108,111,116,116,117
Haiti,"1,335","1,677","1,947","2,164","2,329","2,444","2,532","2,600","2,682","2,769","2,844","2,919","2,991","3,056","3,118","3,192","3,269","3,357"
