Billionaires per million inhabitants,2004,2005,2006,2007
Abkhazia,0,0,0,0
Afghanistan,0,0,0,0
Akrotiri and Dhekelia,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Anguilla,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0.02554620794,0.0252921605,0.02504895003,0.02481270933
Armenia,0,0,0,0
Aruba,0,0,0,0
Australia,0.2510904355,0.2986495515,0.3454387917,0.5872514752
Austria,0.3669831611,0.4887172894,0.3661716027,0.3658633405
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,0,0,0,0
Belgium,0.09663445389,0.09648423042,0.1926955477,0.1924515498
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,0.03259078684,0.04298468594,0.08507098485,0.1052572596
British Virgin Islands,0,0,0,0
Brunei,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0.5229502243,0.5182130393,0.6646740143,0.6888260819
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Rep.,0,0,0,0
Chad,0,0,0,0
Channel Islands,0,0,0,0
Chile,0.189585955,0.1877239547,0.1239601371,0.184221536
China,0.0007717633534,0.001534704737,0.006103032274,0.01516664623
Christmas Island,0,0,0,0
Cocos Island,0,0,0,0
Colombia,0.04726928306,0.04656113539,0.04587888868,0.04522068258
Comoros,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0
"Congo, Rep.",0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,0,0,0,0
Croatia,0,0,0,0
Cuba,0,0,0,0
Cyprus,0,0,0,2.536599967
Czech Rep.,0,0,0.09769961374,0.09776371371
Czechoslovakia,0,0,0,0
Denmark,0.5541811862,0.5522487107,0.3669279744,0.3657564209
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Rep.,0,0,0,0
East Germany,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,0.01290226754,0.02535271746,0.04983520557
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Eritrea and Ethiopia,0,0,0,0
Estonia,0,0,0,0
Ethiopia,0,0,0,0
Faeroe Islands,0,0,0,0
Falkland Islands (Malvinas),0,0,0,0
Fiji,0,0,0,0
Finland,0,0,0,0
France,0.1985958841,0.2308091354,0.2299751745,0.245563824
French Guiana,0,0,0,0
French Polynesia,0,0,0,0
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,0
Germany,0.6308795472,0.6914841543,0.6672951455,0.6674676602
Ghana,0,0,0,0
Gibraltar,0,0,0,0
Greece,0.09391850447,0.09373517227,0.09356236652,0.09340303691
Greenland,0,0,0,0
Grenada,0,0,0,0
Guadeloupe,0,0,0,0
Guam,0,0,0,0
Guatemala,0,0,0,0
Guernsey,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Holy See,0,0,0,0
Honduras,0,0,0,0
"Hong Kong, China",2.042267646,2.174327111,2.449415253,3.008418414
Hungary,0,0,0,0
Iceland,0,3.369987565,3.340147234,6.624029994
India,0.008450144001,0.01110839174,0.02099781632,0.03242085641
Indonesia,0.004630337042,0.009154784519,0.009050142313,0.00894666446
Iran,0,0,0,0
Iraq,0,0,0,0
Ireland,0.5038344319,0.747072224,0.984679616,0.9734524904
Isle of Man,0,0,0,0
Israel,0.8065806658,0.9558884561,1.259422646,1.40041225
Italy,0.2411403444,0.172108055,0.2408249604,0.2235684751
Jamaica,0,0,0,0
Japan,0.1727753187,0.1883575507,0.2118251616,0.1882825907
Jersey,0,0,0,0
Jordan,0,0,0,0
Kazakhstan,0,0.1975524047,0.1312917984,0.3271196091
Kenya,0,0,0,0
Kiribati,0,0,0,0
"Korea, Dem. Rep.",0,0,0,0
"Korea, Rep.",0.04129985086,0.06167678073,0.08188864197,0.2038952557
"Korea, United",0,0,0,0
Kosovo,0,0,0,0
Kuwait,0.8859165405,0.8562934141,1.24049317,1.596450133
Kyrgyzstan,0,0,0,0
Laos,0,0,0,0
Latvia,0,0,0,0
Lebanon,0.2647451113,0,0.7743833972,1.020075598
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0,0,0
Liechtenstein,29.90788372,29.65862918,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
