"TB incidence, all forms in HIV+ (per 100 000 population per year) ",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.7,0.8,0.9,1.1,1.1,1.2,1.3
American Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,5.6,7.1,8.8,10.9,13.2,15.9,19,22.3,25.9,29.7,33.5,37.1,40.6,43.8,46.7,49.3,51.5,53.4
Anguilla,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,1.3,1.6,1.8,2.1,2.3,2.4,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.3
Armenia,0,0,0,0,0.1,0.1,0.2,0.4,0.6,0.9,1.3,1.5,1.7,1.9,1.9,2,2.1,2.1
Australia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.5,1.1,1.8,2.5,2.6
Bahamas,14.5,15.9,16.3,16,15.5,14.9,14.4,13.9,13.6,13.4,13.2,13.1,13,12.9,12.9,12.9,13,13.1
Bahrain,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.6,0.6,0.6,0.6
Barbados,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6
Belarus,0,0,0.1,0.2,0.3,0.6,1,1.4,1.8,2.2,2.3,2.1,2,2,2.1,2.1,2.1,2.2
Belgium,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
Belize,0.1,0.5,1.6,3.8,5.9,6.8,7.1,7.3,7.5,7.6,7.7,7.8,7.9,7.9,8,8.1,8.2,8.3
Benin,1.3,2,3,4.4,6,7.7,9.3,10.6,11.7,12.5,13,13.5,13.8,13.9,14.1,14.1,14.2,14.4
Bermuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.7,1.4,2.6,3.6,4.2
Bolivia,1,1.3,1.7,2.1,2.6,3,3.5,3.9,4.2,4.4,4.6,4.7,4.8,4.8,4.7,4.7,4.6,4.6
Bosnia and Herzegovina,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,69.5,102.4,138.2,177.8,217.4,256,289,324.7,360.7,398.5,439.2,477.7,511.7,533.5,537.9,529.8,514.8,500.3
Brazil,6.8,7.6,8.3,8.6,8.8,8.9,8.9,8.8,8.7,8.5,8.3,8.1,7.9,7.7,7.4,7.2,7,6.8
British Virgin Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.6,0.7
Burkina Faso,24.3,27.2,29,30.8,32.7,35.3,38.2,42.7,47.8,53.1,58.3,62.5,65.5,66.4,64.9,62,58.4,55.4
Burundi,23.5,34.8,54.2,69.1,76.3,81.3,84.4,88.5,92.6,96.6,100.7,103.4,104.3,102.1,96.4,88.9,80.4,72.7
Cambodia,28.5,37.5,47.5,57.6,65.9,71.4,75.5,77.4,78.1,77.2,74.7,70.9,65.9,59.9,53.5,47.5,42.6,38.5
Cameroon,7.4,12.1,18.3,26,34.6,43.2,50.4,57.5,64,70.4,77.1,83.2,88.3,91.3,91.4,89.2,85.9,82.7
Canada,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Cape Verde,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cayman Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,22.1,30.8,39.8,49.8,59.9,70.2,79.4,89.7,100.4,111.7,123.9,135.5,145.9,152.8,154.7,153,149.2,145.5
Chad,7.4,10.5,14.1,18.5,23.5,29.3,35.2,42.1,49.4,57.2,65.6,73.5,80.6,85.4,87,86.3,84.1,82
Chile,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6
China,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.2,1.4,1.5,1.7,1.7,1.8,1.9,1.9
Colombia,0.4,0.5,0.7,0.9,1.1,1.4,1.6,1.8,1.9,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2
Comoros,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"Congo, Rep.",59.4,71.1,79.2,86.4,92.3,97.9,101.8,107.2,113,119.4,126.6,133.1,138.3,140.3,138,133.1,127.5,122
Cook Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6
Croatia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cyprus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
Cote d'Ivoire,38.2,52.8,67.4,83,98.1,112.9,125.3,138.7,151.9,165.2,178.7,190.4,199,201.7,197,187.5,175.1,163.1
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7
"Congo, Dem. Rep.",10,11,11.7,12.4,13,13.8,14.5,15.5,16.7,18.2,19.8,21.5,23,24,24.3,24.1,23.5,23
Denmark,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Djibouti,13.3,20.9,31.9,47,66,87.9,110.6,132.3,151.2,166.9,179.5,189.6,198.1,205.1,211,216.5,221.9,227.5
Dominica,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,8.8,10.6,12.4,13.8,15,15.7,16.1,16.1,15.9,15.5,14.9,14.3,13.6,12.9,12.2,11.6,11,10.5
Ecuador,3.5,4.1,4.7,5.3,5.9,6.5,7.1,7.6,8.1,8.5,8.8,9,9.2,9.3,9.3,9.3,9.2,9.2
Egypt,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
El Salvador,1.1,1.5,2.1,2.8,3.5,4.3,4.9,5.5,5.8,6,6.1,6.1,6,5.9,5.7,5.5,5.4,5.2
Equatorial Guinea,9.8,13.4,17.4,22,27.2,32.8,38.2,44.4,50.9,57.6,64.7,71.2,76.8,80.2,80.8,79.2,76.5,73.6
Eritrea,1.2,2,3.3,5.1,7.1,8.8,10,10.9,11.4,11.9,12.2,12.6,12.9,13.3,13.7,14.2,14.7,15.2
